t,n_grads,f,comm_rounds,var_error
0.0,32560.0,2.7215866406892424,0.0,1.332179427085338
1.0,65120.0,2.6648369697643863,2.0,1.327788865307571
2.0,97680.0,2.608130450056842,4.0,1.3234264274450807
3.0,130240.0,2.55179537640904,6.0,1.3191194608325039
4.0,162800.0,2.495872500127169,8.0,1.314870042938507
5.0,195360.0,2.44039028587681,10.0,1.3106791107299818
6.0,227920.0,2.3853780862103275,12.0,1.3065475562252205
7.0,260480.0,2.3308663067343596,14.0,1.3024762540810702
8.0,293040.0,2.2768865410831367,16.0,1.2984660706516447
9.0,325600.0,2.2234714517583605,18.0,1.2945178576926721
10.0,358160.0,2.170654684573178,20.0,1.2906324483770515
11.0,390720.0,2.118470744089986,22.0,1.2868106520754927
12.0,423280.0,2.066954850428498,24.0,1.2830532489338373
13.0,455840.0,2.0161427707538686,26.0,1.279360984057118
14.0,488400.0,1.966070626945953,28.0,1.2757345613843813
15.0,520960.0,1.9167746794321672,30.0,1.2721746373055964
16.0,553520.0,1.8682910883736608,32.0,1.2686818140831595
17.0,586080.0,1.8206556540088314,34.0,1.265256633159345
18.0,618640.0,1.7739035387773963,36.0,1.2618995684399972
19.0,651200.0,1.7280689746662148,38.0,1.2586110196586153
20.0,683760.0,1.6831849600259499,40.0,1.2553913059343833
21.0,716320.0,1.639282950866876,42.0,1.252240659646103
22.0,748880.0,1.5963925523029203,44.0,1.2491592207488247
23.0,781440.0,1.5545412163323267,46.0,1.246147031661409
24.0,814000.0,1.5137539524758687,48.0,1.243204032850463
25.0,846560.0,1.4740530579023312,50.0,1.2403300592287674
26.0,879120.0,1.4354578735280898,52.0,1.2375248374743668
27.0,911680.0,1.3979845721688717,54.0,1.2347879843599432
28.0,944240.0,1.3616459841489044,56.0,1.2321190061614178
29.0,976800.0,1.3264514648547892,58.0,1.2295172991905428
30.0,1009360.0,1.2924068075946642,60.0,1.2269821514694823
31.0,1041920.0,1.2595142038389593,62.0,1.2245127455371854
32.0,1074480.0,1.2277722515401999,64.0,1.2221081623489551
33.0,1107040.0,1.1971760108258926,66.0,1.219767386203307
34.0,1139600.0,1.167717105001902,68.0,1.217489310605255
35.0,1172160.0,1.1393838635612206,70.0,1.2152727449536442
36.0,1204720.0,1.1121615028227108,72.0,1.2131164219229544
37.0,1237280.0,1.086032338971038,74.0,1.211019005397737
38.0,1269840.0,1.0609760276614413,76.0,1.2089790988108544
39.0,1302400.0,1.0369698240031102,78.0,1.2069952537348942
40.0,1334960.0,1.0139888566381798,80.0,1.2050659785793314
41.0,1367520.0,0.99200640977082,82.0,1.2031897472536088
42.0,1400080.0,0.9709942073420459,84.0,1.2013650076676363
43.0,1432640.0,0.950922694052392,86.0,1.1995901899553982
44.0,1465200.0,0.9317613085637846,88.0,1.197863714323587
45.0,1497760.0,0.9134787449205027,90.0,1.1961839984445233
46.0,1530320.0,0.8960431989758733,92.0,1.1945494643303096
47.0,1562880.0,0.8794225973596547,94.0,1.1929585446424826
48.0,1595440.0,0.863584807240333,96.0,1.1914096884077952
49.0,1628000.0,0.8484978258028876,98.0,1.1899013661257347
50.0,1660560.0,0.8341299489590912,100.0,1.188432074266655
51.0,1693120.0,0.8204499193235899,102.0,1.1870003391708057
52.0,1725680.0,0.8074270539202354,104.0,1.1856047203679771
53.0,1758240.0,0.7950313524294682,106.0,1.1842438133450215
54.0,1790800.0,0.7832335870528299,108.0,1.1829162517942007
55.0,1823360.0,0.7720053752614098,110.0,1.1816207093793523
56.0,1855920.0,0.7613192368194724,112.0,1.1803559010594047
57.0,1888480.0,0.7511486365418086,114.0,1.179120584010012
58.0,1921040.0,0.7414680142629394,116.0,1.1779135581842672
59.0,1953600.0,0.732252803477313,118.0,1.176733666552734
60.0,1986160.0,0.7234794400606338,120.0,1.1755797950616393
61.0,2018720.0,0.7151253624111038,122.0,1.1744508723461529
62.0,2051280.0,0.7071690042623991,124.0,1.173345869233381
63.0,2083840.0,0.6995897813233014,126.0,1.1722637980671904
64.0,2116400.0,0.692368072796792,128.0,1.1712037118842937
65.0,2148960.0,0.6854851987278633,130.0,1.1701647034683498
66.0,2181520.0,0.6789233940272158,132.0,1.1691459043061396
67.0,2214080.0,0.6726657799196311,134.0,1.1681464834672806
68.0,2246640.0,0.66669633347264,136.0,1.1671656464264817
69.0,2279200.0,0.6609998557742539,138.0,1.1662026338449911
70.0,2311760.0,0.6555619392485482,140.0,1.1652567203257402
71.0,2344320.0,0.6503689345250946,142.0,1.1643272131546825
72.0,2376880.0,0.6454079172126399,144.0,1.1634134510390246
73.0,2409440.0,0.6406666548688423,146.0,1.1625148028513956
74.0,2442000.0,0.6361335744059999,148.0,1.1616306663875369
75.0,2474560.0,0.6317977301271241,150.0,1.160760467143784
76.0,2507120.0,0.6276487725469582,152.0,1.1599036571194583
77.0,2539680.0,0.6236769181181362,154.0,1.159059713648262
78.0,2572240.0,0.6198729199531012,156.0,1.1582281382618898
79.0,2604800.0,0.6162280396071783,158.0,1.157408455588299
80.0,2637360.0,0.6127340199668405,160.0,1.1566002122864145
81.0,2669920.0,0.6093830592692705,162.0,1.1558029760184763
82.0,2702480.0,0.6061677862643985,164.0,1.1550163344607611
83.0,2735040.0,0.6030812365182943,166.0,1.1542398943529912
84.0,2767600.0,0.6001168298467692,168.0,1.15347328058641
85.0,2800160.0,0.5972683488599874,170.0,1.152716135330227
86.0,2832720.0,0.5945299185925148,172.0,1.1519681171958807
87.0,2865280.0,0.5918959871883023,174.0,1.1512289004384115
88.0,2897840.0,0.5893613076063843,176.0,1.1504981741940623
89.0,2930400.0,0.5869209203103938,178.0,1.1497756417531204
