t,n_grads,f,comm_rounds,var_error
0.0,0.0,2.7215866406892424,0.0,1.332179427085338
1.0,65120.0,1.083657520946115,1.0,1.2221304615207993
2.0,130240.0,0.729031997965144,2.0,1.1384052699063407
3.0,195360.0,0.4390350595756492,3.0,1.0603773822811546
4.0,260480.0,0.4248595223340521,4.0,1.036323729376178
5.0,325600.0,0.416307978784661,5.0,1.021757443923824
6.0,390720.0,0.40968019502097874,6.0,1.003285875987189
7.0,455840.0,0.4047430878787268,7.0,0.9864324717683233
8.0,520960.0,0.40072475311203687,8.0,0.9720532979327727
9.0,586080.0,0.39726473529409284,9.0,0.9585624674567986
10.0,651200.0,0.39423106785721423,10.0,0.945900347823802
11.0,716320.0,0.39155616224328604,11.0,0.9341187694821955
12.0,781440.0,0.38916982762094343,12.0,0.9230712014460107
13.0,846560.0,0.387022300868965,13.0,0.912652953238102
14.0,911680.0,0.3850780498434651,14.0,0.9028035029487883
15.0,976800.0,0.38330841052819337,15.0,0.893466084383655
16.0,1041920.0,0.38168992276622365,16.0,0.8845884066644846
17.0,1107040.0,0.3802034878663967,17.0,0.8761265877391319
18.0,1172160.0,0.37883325152188785,18.0,0.8680427735202872
19.0,1237280.0,0.37756583581579006,19.0,0.8603034672812744
20.0,1302400.0,0.37638986014940046,20.0,0.8528790554007243
21.0,1367520.0,0.37529556896944233,21.0,0.8457433148220207
22.0,1432640.0,0.37427453595851295,22.0,0.8388728898654203
23.0,1497760.0,0.3733194376914303,23.0,0.832246895537559
24.0,1562880.0,0.37242387612940786,24.0,0.8258466053308958
25.0,1628000.0,0.37158223546323654,25.0,0.8196551814808317
26.0,1693120.0,0.37078956578414324,26.0,0.813657444970626
27.0,1758240.0,0.3700414877571387,27.0,0.8078396809111131
28.0,1823360.0,0.36933411364217944,28.0,0.8021894715105328
29.0,1888480.0,0.3686639813101416,29.0,0.7966955516184747
30.0,1953600.0,0.36802799874235637,30.0,0.791347683384218
31.0,2018720.0,0.36742339705150623,31.0,0.786136546993971
32.0,2083840.0,0.3668476904900204,32.0,0.7810536449891775
33.0,2148960.0,0.3662986422372629,33.0,0.7760912181695254
34.0,2214080.0,0.3657742349983289,34.0,0.7712421714285574
35.0,2279200.0,0.36527264563330897,35.0,0.7665000081417046
36.0,2344320.0,0.36479222318153076,36.0,0.7618587719546701
37.0,2409440.0,0.36433146975966346,37.0,0.7573129950028851
38.0,2474560.0,0.3638890239034305,38.0,0.7528576517408544
39.0,2539680.0,0.3634636459956986,39.0,0.7484881176827483
40.0,2604800.0,0.3630542054827554,40.0,0.7442001324570329
41.0,2669920.0,0.3626596696286866,41.0,0.7399897666621605
42.0,2735040.0,0.362279093597192,42.0,0.7358533920808623
43.0,2800160.0,0.36191161168268837,43.0,0.7317876548699098
44.0,2865280.0,0.3615564295394734,44.0,0.7277894513923336
45.0,2930400.0,0.36121281728013266,45.0,0.723855906401636
46.0,2995520.0,0.36088010333309056,46.0,0.7199843533238108
47.0,3060640.0,0.36055766896491104,47.0,0.716172316414057
48.0,3125760.0,0.3602449433861587,48.0,0.7124174945917582
49.0,3190880.0,0.35994139937079545,49.0,0.7087177467803732
50.0,3256000.0,0.3596465493285309,50.0,0.7050710785988148
51.0,3321120.0,0.3593599417775763,51.0,0.7014756302682554
52.0,3386240.0,0.35908115817209346,52.0,0.6979296656134222
53.0,3451360.0,0.35880981004447643,53.0,0.6944315620506669
54.0,3516480.0,0.35854553642761605,54.0,0.6909798014667086
55.0,3581600.0,0.358288001526605,55.0,0.6875729619021494
56.0,3646720.0,0.35803689261305416,56.0,0.6842097099628723
57.0,3711840.0,0.35779191811839756,57.0,0.680888793890381
58.0,3776960.0,0.35755280590534755,58.0,0.6776090372292063
59.0,3842080.0,0.3573193016990728,59.0,0.674369333035751
60.0,3907200.0,0.3570911676617793,60.0,0.6711686385785283
61.0,3972320.0,0.35686818109620955,61.0,0.6680059704847053
62.0,4037440.0,0.3566501332651822,62.0,0.6648804002923038
63.0,4102560.0,0.35643682831570805,63.0,0.6617910503713627
64.0,4167680.0,0.3562280822974532,64.0,0.658737090180928
65.0,4232800.0,0.3560237222664169,65.0,0.6557177328319074
66.0,4297920.0,0.35582358546565357,66.0,0.6527322319286873
67.0,4363040.0,0.35562751857572156,67.0,0.6497798786649781
68.0,4428160.0,0.3554353770282972,68.0,0.6468599991516524
69.0,4493280.0,0.3552470243770643,69.0,0.6439719519564356
70.0,4558400.0,0.3550623317205835,70.0,0.6411151258371627
71.0,4623520.0,0.3548811771723788,71.0,0.6382889376520176
72.0,4688640.0,0.35470344537395265,72.0,0.635492830431691
73.0,4753760.0,0.3545290270468592,73.0,0.6327262715997669
74.0,4818880.0,0.3543578185803505,74.0,0.6299887513288936
75.0,4884000.0,0.3541897216514431,75.0,0.6272797810214229
76.0,4949120.0,0.3540246428745562,76.0,0.6245988919042116
77.0,5014240.0,0.3538624934781489,77.0,0.621945633728207
78.0,5079360.0,0.3537031890060218,78.0,0.6193195735642676
79.0,5144480.0,0.3535466490411736,79.0,0.6167202946874276
80.0,5209600.0,0.35339279695029585,80.0,0.6141473955424982
81.0,5274720.0,0.3532415596471709,81.0,0.6116004887845203
82.0,5339840.0,0.3530928673733941,82.0,0.6090792003881434
83.0,5404960.0,0.3529466534949899,83.0,0.6065831688205251
84.0,5470080.0,0.3528028543136164,84.0,0.6041120442727982
85.0,5535200.0,0.35266140889117764,85.0,0.601665487945583
86.0,5600320.0,0.3525222588867601,86.0,0.599243171384406
87.0,5665440.0,0.3523853484049142,87.0,0.5968447758612256
88.0,5730560.0,0.3522506238543829,88.0,0.594469991798595
89.0,5795680.0,0.352118033816461,89.0,0.5921185182332712
90.0,5860800.0,0.3519875289222378,90.0,0.589790062316347
91.0,5925920.0,0.35185906173804116,91.0,0.5874843388472186
92.0,5991040.0,0.35173258665845997,92.0,0.5852010698389265
93.0,6056160.0,0.35160805980637483,93.0,0.5829399841125928
94.0,6121280.0,0.3514854389394726,94.0,0.5807008169188788
95.0,6186400.0,0.35136468336276794,95.0,0.5784833095845301
96.0,6251520.0,0.3512457538466917,96.0,0.5762872091822491
97.0,6316640.0,0.351128612550343,97.0,0.5741122682222567
98.0,6381760.0,0.3510132229495358,98.0,0.571958244364039
99.0,6446880.0,0.3508995497692977,99.0,0.5698249001468906
100.0,6512000.0,0.35078755892051033,100.0,0.5677120027379683
101.0,6577120.0,0.35067721744040076,101.0,0.5656193236966689
102.0,6642240.0,0.35056849343662,102.0,0.5635466387542315
103.0,6707360.0,0.3504613560346625,103.0,0.5614937276075485
104.0,6772480.0,0.3503557753284019,104.0,0.5594603737262412
105.0,6837600.0,0.35025172233353247,105.0,0.5574463641721267
106.0,6902720.0,0.3501491689437254,106.0,0.5554514894302656
107.0,6967840.0,0.3500480878893192,107.0,0.5534755432508364
108.0,7032960.0,0.34994845269838154,108.0,0.5515183225011381
109.0,7098080.0,0.34985023765998713,109.0,0.5495796270270679
110.0,7163200.0,0.34975341778957053,110.0,0.5476592595234722
111.0,7228320.0,0.34965796879622363,111.0,0.5457570254128028
112.0,7293440.0,0.3495638670518131,112.0,0.5438727327315567
113.0,7358560.0,0.34947108956180545,113.0,0.542006192024006
114.0,7423680.0,0.34937961393769523,114.0,0.5401572162427639
115.0,7488800.0,0.34928941837093574,115.0,0.5383256206557565
116.0,7553920.0,0.3492004816082819,116.0,0.5365112227592056
117.0,7619040.0,0.349112782928461,117.0,0.5347138421962457
118.0,7684160.0,0.34902630212008967,118.0,0.5329333006808291
119.0,7749280.0,0.34894101946076467,119.0,0.5311694219265907
120.0,7814400.0,0.34885691569725685,120.0,0.5294220315803678
121.0,7879520.0,0.3487739720267456,121.0,0.5276909571600892
122.0,7944640.0,0.34869217007903014,122.0,0.5259760279967609
123.0,8009760.0,0.348611491899664,123.0,0.5242770751803029
124.0,8074880.0,0.34853191993395866,124.0,0.5225939315089929
125.0,8140000.0,0.3484534370118052,125.0,0.5209264314423012
126.0,8205120.0,0.34837602633327075,126.0,0.5192744110569041
127.0,8270240.0,0.3482996714549225,127.0,0.5176377080056807
128.0,8335360.0,0.3482243562768412,128.0,0.5160161614795091
129.0,8400480.0,0.3481500650302845,129.0,0.5144096121716879
130.0,8465600.0,0.3480767822659629,130.0,0.5128179022448189
131.0,8530720.0,0.3480044928428981,131.0,0.5112408752999987
132.0,8595840.0,0.34793318191782724,132.0,0.5096783763481725
133.0,8660960.0,0.3478628349351262,133.0,0.5081302517835156
134.0,8726080.0,0.3477934376172232,134.0,0.5065963493587124
135.0,8791200.0,0.3477249759554753,135.0,0.5050765181620125
136.0,8856320.0,0.3476574362014837,136.0,0.5035706085959475
137.0,8921440.0,0.3475908048588233,137.0,0.5020784723576046
138.0,8986560.0,0.34752506867516575,138.0,0.5005999624203523
139.0,9051680.0,0.3474602146347733,139.0,0.4991349330169207
140.0,9116800.0,0.3473962299513451,140.0,0.4976832396237509
141.0,9181920.0,0.34733310206119744,141.0,0.4962447389465231
142.0,9247040.0,0.3472708186167579,142.0,0.4948192889067847
143.0,9312160.0,0.34720936748036035,143.0,0.4934067486296022
144.0,9377280.0,0.347148736718322,144.0,0.492006978432164
145.0,9442400.0,0.34708891459529073,145.0,0.4906198398132677
146.0,9507520.0,0.3470298895688441,146.0,0.4892451954436264
147.0,9572640.0,0.3469716502843327,147.0,0.4878829091569329
148.0,9637760.0,0.34691418556995,148.0,0.4865328459416266
149.0,9702880.0,0.3468574844320203,149.0,0.48519487193330724
150.0,9768000.0,0.3468015360504912,150.0,0.48386885440774546
151.0,9833120.0,0.3467463297746221,151.0,0.482554661774441
152.0,9898240.0,0.3466918551188572,152.0,0.4812521635706846
153.0,9963360.0,0.34663810175887355,153.0,0.4799612304560797
154.0,10028480.0,0.3465850595277962,154.0,0.47868173420748306
155.0,10093600.0,0.3465327184125708,155.0,0.4774135477143275
156.0,10158720.0,0.34648106855048555,156.0,0.47615654497428933
157.0,10223840.0,0.3464301002258366,157.0,0.47491060108926797
158.0,10288960.0,0.3463798038667265,158.0,0.4736755922616449
159.0,10354080.0,0.3463301700419923,159.0,0.47245139579079104
160.0,10419200.0,0.34628118945825337,160.0,0.471237890069797
161.0,10484320.0,0.34623285295707673,161.0,0.4700349545823965
162.0,10549440.0,0.34618515151224905,162.0,0.468842469900059
163.0,10614560.0,0.3461380762271551,163.0,0.46766031767922955
164.0,10679680.0,0.34609161833225266,164.0,0.46648838065869114
165.0,10744800.0,0.3460457691826426,165.0,0.4653265426570302
166.0,10809920.0,0.3460005202557269,166.0,0.46417468857018673
167.0,10875040.0,0.345955863148951,167.0,0.46303270436906796
168.0,10940160.0,0.3459117895776268,168.0,0.4619004770972125
169.0,11005280.0,0.3458682913728315,169.0,0.4607778948684851
170.0,11070400.0,0.3458253604793785,170.0,0.4596648468647902
171.0,11135520.0,0.3457829889538566,171.0,0.4585612233337884
172.0,11200640.0,0.3457411689627356,172.0,0.45746691558660474
173.0,11265760.0,0.34569989278053187,173.0,0.4563818159955152
174.0,11330880.0,0.34565915278803505,174.0,0.45530581799160114
175.0,11396000.0,0.3456189414705882,175.0,0.45423881606236216
176.0,11461120.0,0.3455792514164227,176.0,0.4531807057492757
177.0,11526240.0,0.3455400753150431,177.0,0.45213138364529765
178.0,11591360.0,0.34550140595565987,178.0,0.4510907473922936
179.0,11656480.0,0.3454632362256675,179.0,0.4500586956783936
180.0,11721600.0,0.3454255591091661,180.0,0.4490351282352669
181.0,11786720.0,0.3453883676855248,181.0,0.44801994583530447
182.0,11851840.0,0.345351655127983,182.0,0.44701305028871097
183.0,11916960.0,0.3453154147022898,183.0,0.4460143444404962
184.0,11982080.0,0.3452796397653791,184.0,0.4450237321673627
185.0,12047200.0,0.34524432376407754,185.0,0.44404111837448834
186.0,12112320.0,0.3452094602338449,186.0,0.44306640899219596
187.0,12177440.0,0.34517504279754574,187.0,0.4420995109725115
188.0,12242560.0,0.34514106516424875,188.0,0.4411403322856047
189.0,12307680.0,0.3451075211280554,189.0,0.440188781916113
190.0,12372800.0,0.3450744045669533,190.0,0.4392447698593452
191.0,12437920.0,0.34504170944169676,191.0,0.43830820711736407
192.0,12503040.0,0.3450094297947088,192.0,0.43737900569494587
193.0,12568160.0,0.3449775597490088,193.0,0.43645707859541955
194.0,12633280.0,0.34494609350715943,194.0,0.4355423398163805
195.0,12698400.0,0.3449150253502367,195.0,0.43463470434528223
196.0,12763520.0,0.34488434963681813,196.0,0.43373408815490516
197.0,12828640.0,0.3448540608019909,197.0,0.4328404081987023
198.0,12893760.0,0.34482415335637784,198.0,0.4319535824060245
199.0,12958880.0,0.34479462188518106,199.0,0.43107352967722307
200.0,13024000.0,0.34476546104724215,200.0,0.4302001698786347
