t,n_grads,f,comm_rounds,var_error
0.0,0.0,2.7215866406892424,0.0,1.332179427085338
1.0,32560.0,2.5518982919008035,1.0,1.3191383713233311
2.0,65120.0,2.3848751897835836,2.0,1.3065276178153529
3.0,97680.0,2.222217665669165,3.0,1.2944511499488784
4.0,130240.0,2.0648478898906575,4.0,1.2829354996487912
5.0,162800.0,1.9137097813036519,5.0,1.272001286901018
6.0,195360.0,1.7697911989344144,6.0,1.2616666977872377
7.0,227920.0,1.6340678276895018,7.0,1.2519458592933697
8.0,260480.0,1.5074307235920266,8.0,1.2428470321630765
9.0,293040.0,1.3906079455505829,9.0,1.2343710060287865
10.0,325600.0,1.2840933081380064,10.0,1.2265099615156052
11.0,358160.0,1.1880963721550155,11.0,1.2192470234139507
12.0,390720.0,1.1025247778217713,12.0,1.2125566454148498
13.0,423280.0,1.0270026040465967,13.0,1.206405810173256
14.0,455840.0,0.9609194573181967,14.0,1.2007558558032116
15.0,488400.0,0.9034982588332432,15.0,1.19556462131492
16.0,520960.0,0.8538676132241503,16.0,1.1907885805086111
17.0,553520.0,0.8111270271334644,17.0,1.1863846998274554
18.0,586080.0,0.7743980341793345,18.0,1.1823118687366627
19.0,618640.0,0.742859133404636,19.0,1.1785318637856035
20.0,651200.0,0.7157659149827865,20.0,1.1750098891361997
21.0,683760.0,0.6924594903035142,21.0,1.1717147788512796
22.0,716320.0,0.6723667255670688,22.0,1.1686189566608067
23.0,748880.0,0.6549953700751626,23.0,1.1656982396378137
24.0,781440.0,0.6399264530869304,24.0,1.1629315543265
25.0,814000.0,0.62680559310139,25.0,1.1603006147295456
26.0,846560.0,0.6153342574258192,26.0,1.1577895949356132
27.0,879120.0,0.6052615631503682,27.0,1.1553848163255667
28.0,911680.0,0.596376908341171,28.0,1.153074460155276
29.0,944240.0,0.5885035322063941,29.0,1.1508483102251965
30.0,976800.0,0.5814929923482849,30.0,1.1486975265420345
31.0,1009360.0,0.5752204890408655,31.0,1.1466144486687253
32.0,1041920.0,0.5695809409932254,32.0,1.1445924263075182
33.0,1074480.0,0.5644857107710806,33.0,1.142625674177214
34.0,1107040.0,0.5598598822195616,34.0,1.1407091481618434
35.0,1139600.0,0.5556400014639473,35.0,1.1388384398481404
36.0,1172160.0,0.5517722041848274,36.0,1.1370096868214168
37.0,1204720.0,0.5482106631026142,37.0,1.1352194963860018
38.0,1237280.0,0.5449163000601774,38.0,1.1334648806777252
39.0,1269840.0,0.5418557163684395,39.0,1.1317432014206663
40.0,1302400.0,0.5390003030722381,40.0,1.1300521228382534
41.0,1334960.0,0.5363254995488806,41.0,1.128389571456104
42.0,1367520.0,0.5338101744876608,42.0,1.1267537017308107
43.0,1400080.0,0.5314361079596581,43.0,1.1251428666072023
44.0,1432640.0,0.5291875571194136,44.0,1.123555592249367
45.0,1465200.0,0.5270508912190507,45.0,1.1219905563110983
46.0,1497760.0,0.5250142841806261,46.0,1.1204465692125436
47.0,1530320.0,0.5230674550664468,47.0,1.1189225579745459
48.0,1562880.0,0.5212014484958272,48.0,1.1174175522330785
49.0,1595440.0,0.5194084484516521,49.0,1.1159306721154487
50.0,1628000.0,0.5176816200597604,50.0,1.1144611177095365
51.0,1660560.0,0.516014974856413,51.0,1.1130081598988164
52.0,1693120.0,0.5144032558228797,52.0,1.1115711323706627
53.0,1725680.0,0.5128418390929806,53.0,1.1101494246345645
54.0,1758240.0,0.511326649754826,54.0,1.1087424759113396
55.0,1790800.0,0.5098540895926458,55.0,1.1073497697750032
56.0,1823360.0,0.5084209749652293,56.0,1.1059708294462764
57.0,1855920.0,0.5070244833076331,57.0,1.1046052136513325
58.0,1888480.0,0.5056621069834352,58.0,1.1032525129717412
59.0,1921040.0,0.5043316134148118,59.0,1.1019123466220446
60.0,1953600.0,0.5030310105843292,60.0,1.100584359600268
61.0,1986160.0,0.5017585171414527,61.0,1.0992682201642314
62.0,2018720.0,0.5005125364631848,62.0,1.0979636175929621
63.0,2051280.0,0.4992916341158756,63.0,1.0966702601979896
64.0,2083840.0,0.4980945182472963,64.0,1.0953878735540141
65.0,2116400.0,0.4969200225071901,65.0,1.0941161989224524
66.0,2148960.0,0.4957670911528451,66.0,1.0928549918448214
67.0,2181520.0,0.49463476604557916,67.0,1.091604020885899
68.0,2214080.0,0.49352217528584513,68.0,1.0903630665091433
69.0,2246640.0,0.4924285232701789,69.0,1.0891319200690759
70.0,2279200.0,0.49135308198342226,70.0,1.0879103829072383
71.0,2311760.0,0.4902951833654158,71.0,1.0866982655399806
72.0,2344320.0,0.489254212613343,72.0,1.0854953869277837
73.0,2376880.0,0.4882296022997283,73.0,1.0843015738170554
74.0,2409440.0,0.48722082720221116,74.0,1.0831166601464335
75.0,2442000.0,0.48622739975506,75.0,1.0819404865105637
76.0,2474560.0,0.48524886604428535,76.0,1.0807728996751595
77.0,2507120.0,0.48428480227845827,77.0,1.0796137521378577
78.0,2539680.0,0.48333481167617165,78.0,1.0784629017300273
79.0,2572240.0,0.4823985217187131,79.0,1.0773202112552367
80.0,2604800.0,0.481475581723111,80.0,1.0761855481605698
81.0,2637360.0,0.48056566069643236,81.0,1.0750587842374137
82.0,2669920.0,0.47966844543715736,82.0,1.0739397953487115
83.0,2702480.0,0.47878363885375924,83.0,1.072828461180008
84.0,2735040.0,0.4779109584743493,84.0,1.071724665011906
